type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,059138,台積電兆豐99購04,TW20Z0591384,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059139,全新兆豐9A購01,TW20Z0591392,2020/03/17,上市,,RWSCCA
上市認購(售)權證,05913P,國巨元大96售11,TW19Z05913P3,2019/12/23,上市,,RWSCPE
上市認購(售)權證,059140,大立光兆豐9A購02,TW20Z0591400,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059141,臺股指兆豐99購01,TW20Z0591418,2020/03/17,上市,,RWICCE
上市認購(售)權證,059142,道瓊指國票9B購02,TW20Z0591426,2020/03/17,上市,,RWBCCA
上市認購(售)權證,059143,國巨國票9A購04,TW20Z0591434,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059144,嘉晶國票9A購02,TW20Z0591442,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059145,創意國票99購02,TW20Z0591459,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059146,貿聯國票9A購02,TW20Z0591467,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059147,矽創國票99購01,TW20Z0591475,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059148,百和國票9A購01,TW20Z0591483,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059149,臺股指國票99購12,TW20Z0591491,2020/03/17,上市,,RWICCE
上市認購(售)權證,05914P,友達元大96售04,TW19Z05914P1,2019/12/23,上市,,RWSCPE
上市認購(售)權證,059150,臺股指國票99購13,TW20Z0591509,2020/03/17,上市,,RWICCE
上市認購(售)權證,059151,臺股指國票99購14,TW20Z0591517,2020/03/17,上市,,RWICCE
上市認購(售)權證,059152,臺股指國票99購15,TW20Z0591525,2020/03/17,上市,,RWICCE
上市認購(售)權證,059153,臺股指國票99購16,TW20Z0591533,2020/03/17,上市,,RWICCE
上市認購(售)權證,059154,可成日盛99購02,TW20Z0591541,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059155,台表科日盛99購01,TW20Z0591558,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059156,台灣50凱基01購03,TW20Z0591566,2020/03/17,上市,,RWBCCA
上市認購(售)權證,059157,元石油凱基9C購01,TW20Z0591574,2020/03/17,上市,,RWBCCA
上市認購(售)權證,059158,S&P正2凱基99購01,TW20Z0591582,2020/03/17,上市,,RWBCCA
上市認購(售)權證,059159,上銀凱基99購05,TW20Z0591590,2020/03/17,上市,,RWSCCA
上市認購(售)權證,05915P,聯發科元大96售19,TW19Z05915P8,2019/12/23,上市,,RWSCPE
上市認購(售)權證,059160,華通凱基99購03,TW20Z0591608,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059161,鴻海凱基9A購09,TW20Z0591616,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059162,國巨凱基99購12,TW20Z0591624,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059163,台積電凱基99購10,TW20Z0591632,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059164,旺宏凱基99購06,TW20Z0591640,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059165,南亞科凱基99購04,TW20Z0591657,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059166,友達凱基99購05,TW20Z0591665,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059167,聯發科凱基99購11,TW20Z0591673,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059168,奇力新凱基99購05,TW20Z0591681,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059169,可成凱基99購04,TW20Z0591699,2020/03/17,上市,,RWSCCA
上市認購(售)權證,05916P,聯發科元大96售20,TW19Z05916P6,2019/12/23,上市,,RWSCPE
上市認購(售)權證,059170,康控凱基9B購01,TW20Z0591707,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059171,祥碩凱基99購04,TW20Z0591715,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059172,台郡凱基99購03,TW20Z0591723,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059173,矽力凱基99購01,TW20Z0591731,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059174,訊芯凱基99購01,TW20Z0591749,2020/03/17,上市,,RWSCCA
上市認購(售)權證,059175,臺股指凱基99購26,TW20Z0591756,2020/03/17,上市,,RWICCE
